StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,H1,Timer_First Click,Timer_Last Click,Timer_Page Submit,Timer_Click Count,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,Q37,D1,D2,D3,D4,D5,D6,D7,Q43,group,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,Total,Easy,Medium,Hard,Very_Hard,Total_Pct,Easy_Pct,Medium_Pct,Hard_Pct,Very_Hard_Pct,Time_Lmt
22Mar2020 18:24:00,23Mar2020 8:28:00,IP Address,100,50685,TRUE,23Mar2020 8:28:00,R_1Oxbe3ruesb3Qx3,anonymous,EN,I promise not to search the internet for answer to this survey.,9.981,38.797,52.463,10,7,10ft,180 degrees,Mary Shelley,Controls,10,,Louis Pasteur,,Maine,Acura,,,,,,,,,,,,,,control,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
23Mar2020 11:01:00,23Mar2020 11:08:00,IP Address,100,416,TRUE,23Mar2020 11:08:00,R_1QiOmtCnYQjBAVQ,anonymous,EN,I promise not to search the internet for answer to this survey.,1.775,243.743,244.618,18,7,10ft,180 degrees,Mary Shelley,Kills,10,"significantly affecting the frequency of surgical errors, which already cost hospitals",Louis Pasteur,24 humans and 50 horses,Florida,Toyota,48,Uranium Dioxide,He said calmly that I shall shoot you if you don't be quiet.,24,Very challenging,Master's degree,Male,About the same,"$150,000 - $199,000",Outside the USA,"Student, full-time",25 - 34,"Nope, I'm honest.",control,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
22Mar2020 18:25:00,22Mar2020 18:30:00,IP Address,79,310,FALSE,23Mar2020 18:31:00,R_4YscNBrtGi8j4nD,anonymous,EN,I promise not to search the internet for answer to this survey.,7.247,150.193,300.96,22,6,10ft,180 degrees,Maurice Sendak,Immobilizes,10,"significantly affecting the frequency of surgical errors, which already cost hospitals",Louis Pasteur,,,,,,,,,,,,,,,,,control,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
23Mar2020 9:11:00,23Mar2020 9:11:00,IP Address,42,3,FALSE,24Mar2020 9:12:00,R_Pv4haRaAlzn2ekx,anonymous,EN,I promise not to search the internet for answer to this survey.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,control,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
24Mar2020 10:23:00,24Mar2020 10:28:00,IP Address,100,296,TRUE,24Mar2020 10:28:00,R_soo8gPBcg0A9AJ3,anonymous,EN,I promise not to search the internet for answer to this survey.,3.03,236.608,237.262,35,7,12ft,180 degrees,Mary Shelley,Controls,10,"significantly affecting the frequency of surgical errors, which already cost hospitals",John Robbins,24 horses and 50 humans,Maine,Toyota,48,Methane,He warned her calmly that he would shoot her if she didn't keep quiet.,24,Moderately challenging,4 year degree,Female,A little more stressed,"$9,999 - $24,999","Midwest - Minnesota, Iowa, Missouri, North Dakota, South Dakota, Nebraska, Kansas","Employed, working full-time",18 - 24,"Nope, I'm honest.",control,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
24Mar2020 10:25:00,24Mar2020 10:32:00,IP Address,100,377,TRUE,24Mar2020 10:32:00,R_26lNRNUgttvdwZ3,anonymous,EN,I promise not to search the internet for answer to this survey.,26.524,293.303,300.018,28,5,10ft,180 degrees,Charles Dickens,Tortures,10,"significantly affecting the frequency of surgical errors, which already cost hospitals",Louis Cooper,24 horses and 50 humans,,,,,,,Slightly challenging,4 year degree,Male,A little more stressed,"$75,000 - $99,999","Southern Atlantic - Delaware, Maryland, District of Columbia, Virginia, West Virginia, North Carolina, South Carolina, Georgia, Florida","Employed, working full-time",18 - 24,"Nope, I'm honest.",control,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
24Mar2020 10:37:00,24Mar2020 10:41:00,IP Address,100,260,TRUE,24Mar2020 10:41:00,R_1QsdBcm9XwgQaij,anonymous,EN,I promise not to search the internet for answer to this survey.,2.602,204.877,205.647,19,7,12ft,180 degrees,Mary Shelley,Controls,10,"significantly affecting the frequency of surgical errors, which already cost hospitals",Louis Pasteur,24 horses and 50 humans,Rhode Island,Toyota,60,Helium,He warned her calmly that he would shoot her if she didn't keep quiet.,144,Very challenging,Master's degree,Female,A lot more stressed,"$75,000 - $99,999","Midwest - Minnesota, Iowa, Missouri, North Dakota, South Dakota, Nebraska, Kansas","Employed, working full-time",25 - 34,"Nope, I'm honest.",control,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
24Mar2020 10:21:00,24Mar2020 10:50:00,IP Address,100,1765,TRUE,24Mar2020 10:50:00,R_ZJpEj2zuHI9ToNr,anonymous,EN,I promise not to search the internet for answer to this survey.,2.635,287.229,300.042,35,7,11ft,180 degrees,Mary Shelley,Controls,10,"significant in affecting the frequency of surgical errors, and already costs hospitals",John Robbins,31 horses and 74 humans,Maine,Toyota,,,,,Very challenging,Master's degree,Female,A little more stressed,"$9,999 - $24,999","Mountain - Montana, Idaho, Wyoming, Colorado, New Mexico, Arizona, Utah, Nevada","Employed, working full-time",18 - 24,"Nope, I'm honest.",control,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
24Mar2020 10:48:00,24Mar2020 10:54:00,IP Address,100,358,TRUE,24Mar2020 10:54:00,R_3qi8lxIAq5ZDpiV,anonymous,EN,I promise not to search the internet for answer to this survey.,7.358,284.121,284.842,44,7,10ft,180 degrees,Mary Shelley,Tortures,10,"significantly affecting the frequency of surgical errors, which already cost hospitals",Louis Pasteur,24 horses and 50 humans,Maine,Toyota,48,Hydrogen,He said calmly that I shall shoot you if you don't be quiet.,24,Very challenging,4 year degree,Female,A little less stressed,"$150,000 - $199,000","Pacific - Washington, Oregon, California, Alaska, Hawaii","Employed, working full-time",25 - 34,"Nope, I'm honest.",control,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
24Mar2020 10:57:00,24Mar2020 11:02:00,IP Address,100,351,TRUE,24Mar2020 11:02:00,R_1gBzvseEBzI8ODW,anonymous,EN,I promise not to search the internet for answer to this survey.,32.505,299.682,300.034,31,8,11ft,180 degrees,Mary Shelley,Kills,10,"significantly affecting the frequency of surgical errors, which already cost hospitals",Jonas Salk,24 horses and 50 humans,Rhode Island,Mercury,,,,,Slightly challenging,Master's degree,Female,A lot more stressed,"$50,000 - $74,999","Mountain - Montana, Idaho, Wyoming, Colorado, New Mexico, Arizona, Utah, Nevada","Student, full-time",25 - 34,"Nope, I'm honest.",control,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
24Mar2020 11:02:00,24Mar2020 11:08:00,IP Address,100,366,TRUE,24Mar2020 11:08:00,R_1llX8TVCR4a1p2g,anonymous,EN,I promise not to search the internet for answer to this survey.,8.372,297.196,300.015,38,7,10ft,180 degrees,Edgar Allan Poe,Immobilizes,10,"significantly affecting the frequency of surgical errors, which already cost hospitals",Louis Pasteur,24 horses and 50 humans,,,,,,,Extremely challenging,2 year degree,Female,A little more stressed,"$50,000 - $74,999","Midwest - Minnesota, Iowa, Missouri, North Dakota, South Dakota, Nebraska, Kansas","Employed, working full-time",25 - 34,"Nope, I'm honest.",control,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
